prot_name,log2(FC),#NAME?
1146,8.932950197,1.84132147
2115,8.927536898,1.775239348
1095,8.926584228,2.260237448
3827,8.926132973,2.633037806
3232,8.905983437,1.75532057
5416,8.899062243,2.332454089
388,8.89895931,1.704471956
4763,8.897267481,2.485867166
6757,8.889877103,2.094443035
3231,8.886943924,2.016755728
5477,8.88618239,2.066916562
5063,8.885636115,1.840404634
7757,8.880690354,1.193169344
1072,8.878986989,3.069855204
3373,8.864625061,1.22883709
1801,8.855048274,1.574472553
363,8.854536012,2.211111638
1365,8.851467574,1.719536199
2378,8.844104633,1.811096774
1689,8.842793239,1.318818516
5526,8.842500075,3.294488114
269,8.833738084,1.725655455
3235,8.833717904,2.170463492
3289,8.826061904,1.54086154
1274,8.824254609,3.182538833
5283,8.815278606,3.294454242
7461,8.814543588,2.583696617
5132,8.811543589,2.066820309
1560,8.809575032,2.155684246
3365,8.801298699,2.702436243
3230,8.796443994,1.968409623
4127,8.794632311,1.961841445
6275,8.789298784,1.681309331
6804,8.785208332,1.506611993
7357,8.784784577,3.294415581
1604,8.784498742,1.396969499
7236,8.783056794,2.67457264
6414,8.782182954,1.917508841
5490,8.778861265,1.953163996
698,8.77701538,1.406534326
7462,8.775385879,3.294403511
6617,8.773514519,1.269511297
5536,8.771207656,1.56010015
6234,8.768351951,2.754553315
197,8.75280756,1.535017667
5885,8.751299095,2.69259563
7530,8.746397134,1.393767702
1834,8.742372593,2.297975224
6976,8.74086704,1.571479885
2770,8.738935577,1.395160815
2653,8.726412871,1.401693031
1621,8.726008735,1.452543152
5660,8.723855578,3.29433601
2639,8.722159638,2.712884607
7466,8.719024389,3.739970391
6302,8.717107439,1.719085912
780,8.715070835,2.147259536
5380,8.708799097,2.580945359
2564,8.697889789,1.762695392
5256,8.695065661,1.576146853
4559,8.69480635,1.945911411
4281,8.688852474,2.076977025
5971,8.680907458,1.584634229
6282,8.672783964,3.03065137
1953,8.668383833,1.473330477
6285,8.661904712,2.309359246
3247,8.660915682,2.363733856
6188,8.659822484,1.660257529
751,8.655523175,1.851136082
943,8.649426691,2.130304399
6991,8.642440015,1.468605259
690,8.639846304,2.906297561
5249,8.638687935,1.506410852
6099,8.637473199,1.608802596
7213,8.631149391,1.581203211
1573,8.627571417,1.192848494
2513,8.626303528,2.275175476
2371,8.624652768,2.445986482
6970,8.624498439,1.905230952
4433,8.62131443,2.240651893
2889,8.621183095,1.735856639
3250,8.618350026,2.782245902
3233,8.616429285,2.891072155
2998,8.615192003,1.594352681
7183,8.601633131,2.060835959
6280,8.58851829,2.117769353
7572,8.585852846,1.654786186
815,8.584341467,1.13230502
5964,8.576409895,1.781349478
1837,8.575889583,1.534678131
356,8.575687323,2.05208237
7064,8.572413371,1.571396375
6462,8.562392156,3.294109386
6152,8.562242953,2.130297944
5984,8.557748705,2.592520925
367,8.556168339,2.392522202
7511,8.554042789,2.30092609
1116,8.552022147,2.17316498
4859,8.543586534,1.390981921
926,8.540628549,3.069384844
4271,8.536780951,1.810657745
226,8.533171398,2.30916096
2517,8.530659181,1.98617746
4070,8.526490996,1.996609934
2357,8.52593504,2.580667994
6202,8.511213058,1.373121486
6160,8.509211137,1.72905332
3018,8.508409388,1.952762653
3860,8.506532432,2.232197413
6812,8.502357182,1.797316245
2931,8.499977726,2.550653478
6754,8.498915893,2.191394289
3907,8.491624285,3.009882616
4483,8.475337502,2.583191004
1794,8.474101135,2.519207067
5882,8.47023259,1.645667261
5191,8.468866516,1.376784409
3157,8.463859692,1.571066382
1990,8.449596823,1.573886767
357,8.449531857,1.892015433
1603,8.448215526,1.406061851
1145,8.44752934,2.3863914
5086,8.442402095,2.232089928
2865,8.439483749,1.810498066
4292,8.437507468,1.878337359
282,8.435876323,1.749023975
3088,8.425435969,3.026686977
556,8.419925995,2.519114626
6511,8.41719424,3.293884601
364,8.410353453,1.707033569
2891,8.410088378,2.129918428
1894,8.404561048,1.287958322
695,8.400928379,2.129902347
6184,8.387001086,1.678585753
2395,8.380555038,1.575655404
6406,8.378888439,1.56856331
748,8.376836503,3.293818351
5204,8.373661532,1.390707746
6982,8.37260855,1.867100744
3262,8.357073248,3.293785286
3988,8.35008201,1.394567945
1378,8.337577072,3.293752262
1716,8.333362224,1.940102055
6969,8.331758031,2.231892887
3238,8.330294739,2.361645815
2833,8.329266458,2.386180931
6484,8.328737943,2.529318317
6689,8.328049997,1.584968883
4769,8.325302675,1.739243432
6049,8.318340853,3.293719278
3354,8.318036526,1.791536071
1128,8.310925889,1.36682069
5004,8.306447175,3.293698684
3082,8.301373296,2.363132278
7349,8.298980122,1.748780444
2379,8.297773911,1.998755837
6266,8.29773661,1.814178679
241,8.297470355,2.339547853
1983,8.296363878,1.776021722
5432,8.287319808,1.538216156
5798,8.286655702,1.682690958
3074,8.284287264,1.312362209
3571,8.280621187,3.293653431
1002,8.274449821,1.673410373
380,8.274205278,0.965514863
6197,8.27236245,1.706784261
5620,8.267759763,2.853543861
3998,8.264952246,1.960987018
5225,8.264396874,1.534239768
1517,8.259239391,2.342968203
2058,8.250617832,1.916405141
6975,8.24783568,2.259496444
2896,8.240670728,2.483840686
496,8.238249631,2.259477584
936,8.234817498,3.29357135
6561,8.232115364,1.885707956
4352,8.230994333,1.532879536
3213,8.229959804,1.746978831
2750,8.224427973,1.706691912
6469,8.22089335,2.12956463
6271,8.21718239,2.065847007
6100,8.212303096,2.582709187
5258,8.212170633,1.371398864
892,8.20568042,1.998514349
4621,8.200660816,2.132891327
4563,8.197319872,1.9179052
6272,8.196613096,2.037134516
5654,8.191812773,2.234289475
1561,8.188972564,2.177617892
6540,8.188159429,1.534005028
6990,8.185037096,1.448394406
2921,8.18068764,1.570552854
6662,8.179726048,2.591839413
5791,8.175795689,0.842838321
4548,8.168259256,1.820380796
6042,8.167315099,2.017066136
3337,8.166033433,1.791240329
3822,8.16442817,3.293440543
4196,8.16442817,3.293440543
1094,8.162295515,3.212461798
2343,8.162040836,2.065734694
359,8.160020815,1.552819913
3460,8.157340824,1.748502878
2674,8.15211722,1.973693514
759,8.148799296,1.10816764
6971,8.147601739,1.973684082
2516,8.142127084,1.420005587
7197,8.123159945,1.107876398
2888,8.121994292,1.960697313
4504,8.121398851,2.06564912
1246,8.116054394,1.775662299
1681,8.114363877,1.398949303
7009,8.11356294,1.26555036
498,8.108415495,2.172340706
7291,8.106816426,2.036946846
1115,8.102234356,1.419923974
1536,8.092731742,1.748366906
5873,8.091209829,1.734902217
5555,8.090184762,1.227624876
7687,8.089140042,3.293294156
6961,8.084213569,2.146138279
4958,8.078103582,2.654633798
5155,8.074542666,3.293264977
6198,8.065461707,2.582399867
5741,8.056899705,3.293229357
5075,8.056247964,2.385624112
3240,8.044140548,2.505666114
590,8.043196347,1.707936668
567,8.037953375,1.574982544
173,8.034561497,1.391430606
1962,8.033183636,3.293180864
5864,8.018720161,1.57021037
4303,8.017024733,1.960465523
5867,8.010310921,1.879388234
5877,8.009310232,1.467465005
7798,8.007770541,1.511106801
4952,8.003836901,1.728078855
5859,8.00292904,1.995593886
6737,8.000239538,3.29311232
6162,7.991521414,1.119194129
757,7.990796336,1.489040145
1332,7.985328202,2.854166249
2760,7.982317125,2.012100472
2298,7.968049983,1.256386921
5875,7.96083255,1.412043989
6415,7.960594567,1.327411537
944,7.960555836,3.293027899
6265,7.959865478,1.796546072
3241,7.959388784,2.182060523
6688,7.953374337,2.12512279
332,7.951245838,1.451424674
1362,7.948859559,1.037494883
7286,7.938736468,1.899294095
1655,7.933347841,0.916200478
6692,7.932637139,1.245341283
5418,7.93060614,2.299689323
612,7.929922067,2.128921377
5772,7.929922067,2.128921377
6146,7.927316284,2.239303031
4296,7.923032126,1.531891368
4045,7.921464441,1.265137909
1226,7.918755508,1.454350761
2114,7.918245155,1.455598366
5879,7.918184726,1.898332646
2273,7.915592173,2.296421421
6806,7.909691048,2.264769217
392,7.905461452,2.065151703
4887,7.902365218,1.997897596
2647,7.902298866,1.616754299
1617,7.897874718,1.393643491
222,7.895700085,1.229472938
6402,7.893661973,1.775152258
2004,7.890515915,2.613131456
5967,7.890340626,0.802563481
355,7.880218138,2.416416821
1546,7.879420479,2.181863753
643,7.877265493,3.292843948
7350,7.875378328,1.278405384
4782,7.870365106,1.537321768
1327,7.870245065,3.292828015
7231,7.862106744,1.592887971
4994,7.852249976,1.371825506
401,7.851596988,1.531717004
1182,7.851144332,1.972995471
2096,7.84938646,3.292780277
888,7.849034917,1.681733085
4382,7.847948364,1.747792647
3417,7.845486107,1.779882156
6147,7.844961187,2.114895971
6258,7.844675368,1.583931593
6660,7.840461191,2.239083931
2827,7.836436194,2.581850775
6693,7.827546934,1.960001876
3245,7.824283579,1.583879704
1902,7.822658609,0.89996401
3075,7.822051796,2.761506541
1587,7.819274932,2.482878649
2788,7.818817741,1.683829228
379,7.817985853,1.2621907
2071,7.815927221,1.375464151
1791,7.814286908,1.81955816
3076,7.812938687,1.628615311
1114,7.806581685,1.704107251
1650,7.805520627,1.959943913
4531,7.805498459,2.904647284
1454,7.804099538,1.558274461
4860,7.803607062,1.390888029
1421,7.802473754,1.422063015
6456,7.80226438,1.819526512
1245,7.80185809,3.29266924
3366,7.801516832,2.396264775
6477,7.799470756,2.06487891
6246,7.799273555,2.171596697
6436,7.797082333,1.437019962
7705,7.795693298,1.220618414
7532,7.782774197,1.389457801
1053,7.770673593,1.450979575
745,7.768843033,3.29259023
974,7.768709655,0.939982818
783,7.768445216,1.547610563
4998,7.763967254,1.876873325
1359,7.760883129,1.314201469
3700,7.752674571,1.746452639
307,7.739921069,1.586387603
3637,7.732612915,0.731388285
6245,7.727291705,1.371505466
2769,7.716496085,2.49288878
1419,7.706760396,1.8767145
4079,7.705256504,1.959668573
362,7.700829094,2.132115768
3139,7.698345428,1.819241642
3215,7.697406964,2.299071425
5413,7.687436697,0.878720525
4561,7.687090551,1.536838777
1796,7.686714773,0.833466273
2200,7.681873021,1.233496038
4937,7.677416105,1.984309992
3958,7.676033313,2.299009653
5972,7.675700719,2.035863562
1920,7.671286125,2.128229905
7695,7.670412405,1.510255266
3887,7.664286303,1.51023788
744,7.656652405,1.997170588
7646,7.649854997,3.292292286
975,7.646204933,2.590521173
4038,7.643856256,3.292276706
6944,7.641110155,1.099379555
6278,7.640272162,2.064429577
4275,7.622231149,2.171093129
1121,7.614231087,3.292198953
7233,7.607455581,2.238426779
1964,7.605279446,1.569139424
3246,7.603404033,1.566774781
4058,7.600407599,2.075024908
4565,7.59618467,2.128004779
437,7.594530551,1.228696248
4147,7.592733042,1.510029235
2126,7.583369153,1.476216114
1684,7.579465669,3.292105982
2209,7.576992409,1.076426196
4995,7.573456051,1.487945468
5703,7.569969632,1.994424996
5387,7.559050412,1.005530146
4908,7.558933584,0.977827699
5265,7.558400244,1.994388687
6164,7.554033751,1.437680126
1972,7.54483779,2.127843977
6749,7.544638342,1.994345117
7096,7.53437778,3.291982584
4599,7.530945755,1.487815074
1059,7.530560093,1.568910822
6398,7.525479149,2.395459914
7292,7.522666203,1.399168619
6205,7.520440285,1.38200987
3057,7.512607648,2.055607528
1185,7.509148496,1.392580034
544,7.503608886,1.326197107
4359,7.493234114,1.747855415
3453,7.490798137,1.47016555
669,7.484356655,1.536227627
5838,7.482096876,1.994141778
6269,7.471021053,2.058209134
248,7.470620401,1.101762805
1773,7.455288344,1.450054533
1991,7.438464839,1.487517716
3773,7.430145181,1.266924684
7599,7.42139536,1.778619417
3196,7.41833991,2.2949574
5346,7.410657625,1.530425838
7353,7.405776449,2.294913506
4006,7.398022322,2.063643168
516,7.390975534,2.481569264
5842,7.390529519,1.038541034
6999,7.382718651,1.904532381
3066,7.356233506,2.383610868
6558,7.35339759,3.291454038
6145,7.353214526,2.063482664
6119,7.351181076,1.005519621
6121,7.344419924,0.695297495
7289,7.343561153,1.732791605
4314,7.340114284,1.818085778
2654,7.338787895,3.291408977
633,7.327846898,1.260751761
2367,7.31923978,2.48130985
1600,7.313375489,1.77823372
4664,7.308524613,1.509089825
7348,7.297524865,1.475268136
5899,7.284354901,1.48413836
2984,7.275206154,1.99594724
247,7.270647903,1.213419611
1888,7.264532983,1.364080367
6703,7.264461201,1.129271884
4960,7.257499327,2.445086469
1692,7.252657314,1.049569374
242,7.242691775,1.017644917
3011,7.23888995,1.958102866
5563,7.236438234,0.977053131
5830,7.225779786,2.009763455
650,7.216208531,2.295489297
3368,7.205101088,1.730430576
5096,7.203973526,1.474914581
229,7.200411482,0.877558891
7719,7.198940267,1.050732767
4302,7.194608698,2.062872711
6071,7.190071106,1.461734285
7575,7.186640993,1.993052216
6977,7.17487186,1.449042903
5852,7.173762209,1.373427322
5681,7.167346873,2.305503704
1213,7.150324571,1.508480509
2097,7.13277055,1.115890753
1456,7.12838542,3.290718452
4518,7.119784299,1.448819869
4205,7.101325319,1.224745676
771,7.095570839,2.293699745
3107,7.091070812,2.296911307
7352,7.083272735,1.114667617
7451,7.081012162,3.290551951
6191,7.074946161,3.290530332
486,7.068905559,3.290508734
6095,7.060856022,1.3118668
5505,6.998885156,1.485810208
7130,6.98392864,1.279908836
2512,6.983834685,1.816611935
992,6.978386486,2.033256079
6752,6.957228668,1.09020605
7428,6.948434552,1.580787915
5648,6.936221293,0.727566296
6514,6.934871882,2.061716839
2169,6.928068795,1.362682164
3605,6.91396565,2.12544838
3390,6.911166207,1.475432043
4505,6.897625519,1.528328774
6062,6.896798054,1.447824218
6185,6.888034138,1.674937825
6726,6.878897191,1.566321458
2162,6.858136434,1.44763528
3019,6.831954616,0.699865201
5881,6.81059688,2.052661824
5427,6.799090576,1.272446237
3497,6.77901031,1.786454338
2949,6.750292256,2.292005407
5993,6.733210571,2.440112488
1186,6.729311779,1.815311197
1188,6.717872553,1.367589535
5259,6.676755,2.29158948
1160,6.62925057,1.990275565
589,6.576952614,1.385959194
6583,6.569324994,1.587649834
4324,6.558196747,1.106805136
7616,6.497155572,0.7281845
6081,6.479995595,1.203899272
5430,6.457645537,1.215135016
465,6.45047112,1.369564187
638,6.413657521,1.813342033
4936,6.372831943,0.873605268
4770,6.321293031,1.470151593
7003,6.246551781,0.728634207
697,6.077004732,2.05601424
7529,6.057243911,1.522769319
2671,5.982317343,1.562999453
2673,5.878288952,1.200075752
4106,5.439175437,1.515995948
5748,5.104991211,0.801311896
2489,3.495107331,2.641386274
2933,3.14615158,2.616567868
5431,2.92668973,2.766821975
981,2.79175771,2.861589075
1861,2.763085955,3.284897897
1635,2.690887721,1.731058935
1705,2.649595296,2.999098352
518,2.623479201,3.207274494
929,2.595082638,2.860695043
6270,2.589742028,2.528633584
6264,2.514197265,2.613512764
6187,2.490578537,3.261516696
5452,2.370260789,2.63597124
4967,2.353075563,3.3929551
1207,2.352015503,3.588201333
2890,2.343549429,1.916909534
3824,2.307575245,3.020135327
6154,2.235945189,2.78336327
182,2.207094476,2.569965356
1157,2.124495272,2.049924257
5263,2.102411349,2.500617097
2781,2.097491123,2.257602008
6267,2.09711437,2.790567363
1696,2.051579875,3.198715508
2914,2.005643427,2.588251181
2002,2.005449266,3.244170297
7296,1.979045903,2.176129095
6066,1.978435358,4.796744269
6273,1.955423807,3.480873084
2729,1.915671115,4.604106165
4575,1.903488902,1.87140746
2780,1.895002571,2.190738203
6968,1.884391816,2.222433547
1632,1.881971711,2.749990347
2852,1.846079742,1.619307573
5273,1.830348593,3.693601759
6239,1.829229682,1.774611262
6156,1.828018629,2.1719505
1660,1.771167763,2.874581008
5017,1.760723319,2.018700202
5793,1.716252718,1.241752896
5401,1.711188994,3.924875998
2119,1.690708178,1.834079468
1340,1.67510388,3.369388611
1639,1.662673273,2.421918
4790,1.66160717,2.050759489
5994,1.65208185,2.294677097
7622,1.648898026,3.544507892
2779,1.640137593,2.814297016
4220,1.633400386,1.657150704
1153,1.628385239,2.444495412
350,1.61088359,2.426449442
5374,1.604847546,2.865313695
4403,1.602968494,2.223788902
1697,1.597757141,2.480470833
746,1.592795786,3.732674949
4574,1.580694552,1.700006567
3828,1.572536606,2.021316376
7610,1.56741879,1.550932165
2885,1.566955313,2.337891765
1000,1.552592978,1.777599432
2819,1.55198519,1.934866259
4246,1.536055422,1.722490177
6256,1.531976509,3.046900345
6097,1.530598598,1.798004065
2778,1.519470054,2.653802709
3077,1.510458839,3.472036466
4883,1.507666504,3.564750184
3013,1.503624925,2.142021031
2596,1.488987437,2.824150244
1060,1.481570308,2.002643628
3096,1.478331547,2.856082694
3961,1.476869999,1.827993815
228,1.475092026,2.529568336
1638,1.453657999,2.225300996
6972,1.438648424,2.986831638
3823,1.438506604,3.781550704
615,1.437416515,1.880385353
3800,1.436643737,1.667529932
861,1.434046134,2.072822611
4279,1.428928354,2.433429015
7311,1.399395988,2.967373756
4765,1.367379491,2.266992928
6523,1.36566505,2.271523049
1740,1.358226721,2.480981549
4585,1.357224927,2.647146895
5383,1.356776673,3.684442352
154,1.354312868,1.33316468
781,1.352090905,3.071035528
6722,1.342770014,3.519966559
3643,1.34068599,2.03184658
2365,1.331723991,1.875982568
1415,1.317349629,1.643078888
3829,1.304701806,2.530009497
5182,1.298096137,2.067871849
2444,1.282118655,1.576340236
2350,1.277215558,1.291270038
957,1.263636019,3.483943989
4584,1.251987229,2.461641756
2116,1.215681071,2.347939357
6816,1.204243491,2.294619293
7472,1.198522016,1.560161011
4190,1.184369894,2.785076414
3924,1.17622565,3.29760628
2699,1.175779892,2.580020766
5093,1.17064114,2.194303461
2377,1.170598552,2.037570318
5036,1.167096813,3.304769286
3030,1.161700169,3.062123074
4976,1.145752407,2.926814275
7290,1.144616233,1.168805265
3158,1.134790533,1.830419589
533,1.128162302,3.219273997
5232,1.125542417,1.730052923
4945,1.120213175,2.998070218
1152,1.119998815,1.996045417
143,1.117115083,1.161579279
1006,1.114103958,1.468291065
7071,1.105804625,2.832684519
4177,1.081419147,1.574537577
1518,1.07970098,1.866856886
2667,1.074499014,1.462995239
5066,1.072646149,2.099779992
5665,1.067851675,1.359235403
1464,1.066854444,1.898228965
5850,1.058476912,3.547047758
1935,1.057666171,0.676197706
5253,1.055944709,2.406851068
6721,1.042073863,2.385194471
1381,1.041496164,3.190530755
174,1.039489,1.085544295
1636,1.038587846,1.340925432
7316,1.037502891,2.781111366
3825,1.016678409,1.692021778
4268,1.016306934,1.848761055
6974,1.009448391,1.058527561
1657,1.007960917,1.977736888
4713,1.007017557,1.789163907
3950,1.003373296,1.555997091
5233,1.002614677,1.489188047
2361,1.001172396,2.704923814
5384,0.996540995,3.772549067
3159,0.987242572,1.355098805
3283,0.986002533,1.615053154
1247,0.984358868,1.440644824
232,0.983130999,2.971249526
2362,0.982766815,3.347402685
3952,0.981323156,1.5678501
6760,0.977586291,1.201577148
7647,0.97625267,2.65407247
909,0.975418803,2.519298146
3698,0.975001528,1.587966447
4570,0.964863967,2.400502239
7284,0.961509832,1.298714948
5190,0.958695036,1.600602206
4103,0.957300118,2.897232826
1440,0.945999797,1.319247085
3191,0.944100905,4.577354895
2040,0.937741346,1.908605488
3809,0.936759819,1.617464744
2253,0.924317597,1.766447384
1064,0.923987822,2.091866804
7723,0.921315039,2.310359084
1036,0.915996528,1.402373213
4633,0.914897836,2.442074238
2665,0.909823575,1.524506276
862,0.90452697,2.438309669
5992,0.901842754,1.604624671
6485,0.899041845,1.64332175
3012,0.891660572,1.619457077
1328,0.888312138,1.9012249
1745,0.885264703,0.989385815
2256,0.882292879,3.04378819
3721,0.878329198,1.292665685
5446,0.871577181,2.621650233
3810,0.867728968,2.263670575
2661,0.861214756,1.671732647
6628,0.858790474,1.385725413
2433,0.85747313,1.545140284
6441,0.853645911,3.396556681
1376,0.85193855,3.47949852
6788,0.851210758,2.076162596
6480,0.846626089,2.038737484
4825,0.828981301,2.397286446
3083,0.819385453,3.354857973
6032,0.817120292,1.798367208
2616,0.817009898,1.699805845
4857,0.816068923,3.51620056
3760,0.813765893,1.980669954
619,0.811596512,1.190916906
6598,0.811171849,2.131266901
2663,0.809748417,1.643735604
5252,0.808363749,1.754767528
4918,0.807735364,0.901789062
2543,0.796640828,2.511067264
4104,0.793699092,2.508271442
7263,0.790701218,1.570237274
1945,0.786539624,1.221355279
5650,0.784941235,1.484810768
7108,0.781464535,1.280676851
1863,0.78057787,1.51823544
1667,0.779902394,2.016212893
6940,0.772830655,0.98615541
4379,0.769935368,1.678939455
4248,0.763534911,1.042423307
3556,0.751739214,0.973182245
7070,0.749136629,2.052625244
2906,0.747966625,0.951181173
3573,0.730360357,1.060289159
2926,0.728282731,2.327528626
434,0.721118826,1.36200782
4108,0.71877253,2.053379911
1281,0.717549744,1.791920213
5796,0.713932715,1.169537518
3618,0.71229761,1.90251404
7139,0.709253972,0.859420752
3657,0.708909809,2.673286527
3567,0.705994572,1.68027417
2798,0.70038878,1.530452255
6626,0.698342987,1.184079445
2886,0.697170032,0.940140116
1957,0.680522191,1.417012799
5763,0.665777108,1.715991373
3936,0.663307158,1.487737694
2576,0.663221837,1.643441013
1370,0.66035384,2.707286475
2776,0.654287979,1.310336465
5495,0.650937338,1.838731689
6210,0.65055018,0.904371051
3319,0.646542911,1.057882423
1944,0.645748767,1.060574707
4381,0.645393191,0.955434371
4889,0.639197468,2.285637067
3603,0.63875572,1.287808849
1020,0.633967852,0.898859717
3646,0.632783537,2.441333476
1512,0.632423184,1.486367428
1334,0.631787123,2.362627676
2063,0.62653998,1.920099779
5323,0.624703172,2.285113806
4239,0.624601172,0.85185616
5242,0.622974144,1.297187317
3017,0.620770224,2.184163998
1301,0.620286358,1.595540595
2164,0.61539012,2.016375619
7055,0.613298324,2.500814277
3004,0.609155534,2.593947317
5130,0.597827102,0.514319659
5244,0.596878216,1.439295699
1559,0.595822356,0.889857278
4731,0.595756068,0.989031637
5027,0.595072426,1.139666138
2953,0.593737547,2.203243602
179,0.58989721,1.031942753
6557,0.586828238,1.210381734
717,0.583829124,1.049047552
1063,0.583286811,1.335223717
4573,0.580839263,0.837412799
2581,0.576709544,0.419329053
5790,0.56905648,1.465182272
4120,0.568881567,1.797387917
2031,0.568793236,0.999331637
5847,0.568779174,1.755722661
4289,0.56797413,1.730206542
175,0.567860254,0.85464875
3578,0.567742716,1.222145419
4815,0.558548055,1.377897665
2773,0.554190886,1.083849837
3416,0.54861553,2.215961005
2013,0.546209861,2.233891294
2909,0.545513357,0.494322471
3029,0.543899595,1.326439333
2292,0.543615789,1.412858021
1427,0.54301305,1.065636335
6509,0.541443276,1.840834043
